Gender,Shanghai_ranking,Publications,Citations,Recommendations,Interest score,Reads,h index,PISA rank,GDP (Millions $),HDI score,Position rank,Average h index
0,47,37,63,6,493,1809,5,19,23315081,0.921,3,26.894334
1,47,111,5963,24,2914,15851,33,19,23315081,0.921,3,26.894334
1,47,37,1054,4,5330,9196,19,19,23315081,0.921,3,26.894334
1,47,56,1075,30,5148,4715,18,19,23315081,0.921,3,26.894334
0,47,35,1617,21,8818,9093,14,19,23315081,0.921,4,26.894334
1,47,149,10315,57,6489,153823,45,19,23315081,0.921,3,26.894334
1,47,71,2641,44,1323,10200,20,19,23315081,0.921,3,26.894334
0,47,59,829,54,8621,36756,15,19,23315081,0.921,3,26.894334
1,47,75,1405,4,7097,7591,19,19,23315081,0.921,3,26.894334
1,47,78,1198,8,5964,6194,23,19,23315081,0.921,3,26.894334
1,47,84,660,81,4851,10976,12,19,23315081,0.921,3,26.894334
1,47,61,2383,1,1134,2946,28,19,23315081,0.921,3,26.894334
1,47,63,4344,0,1966,1524,28,19,23315081,0.921,3,26.894334
1,47,40,150,25,1300,5285,7,19,23315081,0.921,0,26.894334
1,47,216,8436,55,4261,19867,44,19,23315081,0.921,3,26.894334
0,47,32,47,9,524,1374,5,19,23315081,0.921,3,26.894334
1,47,210,2177,81,1201,17905,24,19,23315081,0.921,3,26.894334
1,47,96,959,49,5801,10411,16,19,23315081,0.921,3,26.894334
1,47,67,590,26,3140,6255,16,19,23315081,0.921,3,26.894334
1,47,48,722,11,3769,5211,15,19,23315081,0.921,0,26.894334
1,47,50,460,7,2614,5642,12,19,23315081,0.921,3,26.894334
1,47,48,1258,9,7087,18999,19,19,23315081,0.921,2,26.894334
1,47,64,2032,2,9247,1439,22,19,23315081,0.921,3,26.894334
0,47,45,1139,14,5399,4003,18,19,23315081,0.921,3,26.894334
1,47,35,334,48,4119,21187,10,19,23315081,0.921,3,26.894334
1,47,35,760,4,3842,3144,17,19,23315081,0.921,2,26.894334
1,47,46,693,2,3123,4606,14,19,23315081,0.921,3,26.894334
1,47,44,2791,90,1586,12552,24,19,23315081,0.921,0,26.894334
1,47,66,236,4,1356,6455,10,19,23315081,0.921,2,26.894334
0,47,49,1298,2,6794,28893,15,19,23315081,0.921,2,26.894334
0,47,97,748,85,5515,8272,16,19,23315081,0.921,3,26.894334
1,47,153,11574,5,5351,32431,48,19,23315081,0.921,3,26.894334
1,47,33,185,4,1559,3039,7,19,23315081,0.921,3,26.894334
1,47,215,14331,93,7870,112932,48,19,23315081,0.921,3,26.894334
1,47,38,386,22,2582,6066,9,19,23315081,0.921,3,26.894334
1,47,48,468,52,4727,9658,9,19,23315081,0.921,3,26.894334
1,47,38,673,67,3319,5102,10,19,23315081,0.921,3,26.894334
1,47,58,2778,16,1363,6224,21,19,23315081,0.921,2,26.894334
1,47,121,5176,64,2752,20577,42,19,23315081,0.921,3,26.894334
1,47,39,541,8,3149,4669,12,19,23315081,0.921,0,26.894334
0,47,58,4064,18,1851,7150,26,19,23315081,0.921,4,26.894334
1,47,41,302,48,2699,4352,8,19,23315081,0.921,3,26.894334
1,47,37,294,74,2599,5120,10,19,23315081,0.921,3,26.894334
1,47,44,110,11,1029,5476,6,19,23315081,0.921,3,26.894334
1,47,44,365,9,2182,9445,11,19,23315081,0.921,3,26.894334
0,47,79,5042,26,2520,33587,30,19,23315081,0.921,2,26.894334
0,47,130,6383,12,3076,10367,38,19,23315081,0.921,0,26.894334
1,47,34,402,27,4029,12823,10,19,23315081,0.921,3,26.894334
1,47,333,14553,63,6912,63795,62,19,23315081,0.921,3,26.894334
0,47,53,2690,7,1377,10594,24,19,23315081,0.921,3,26.894334
1,47,125,5697,83,3164,61691,30,19,23315081,0.921,3,26.894334
1,47,75,3146,247,2114,25273,26,19,23315081,0.921,3,26.894334
1,47,92,12296,65,6411,25546,40,19,23315081,0.921,3,26.894334
0,47,41,929,10,4573,7036,19,19,23315081,0.921,3,26.894334
1,47,84,545,7,2734,1930,13,19,23315081,0.921,3,26.894334
1,47,168,1021,30,5718,19540,18,19,23315081,0.921,2,26.894334
0,47,57,910,52,7301,12781,17,19,23315081,0.921,3,26.894334
1,47,55,962,4,4096,1891,17,19,23315081,0.921,0,26.894334
1,47,425,14228,76,6569,39019,64,19,23315081,0.921,3,26.894334
1,47,542,7828,422,4066,57082,44,19,23315081,0.921,3,26.894334
1,47,43,4377,13,2359,33470,25,19,23315081,0.921,0,26.894334
0,47,35,371,17,2077,2513,13,19,23315081,0.921,3,26.894334
1,47,102,1567,9,6836,4031,22,19,23315081,0.921,3,26.894334
0,47,57,401,10,1987,2338,12,19,23315081,0.921,0,26.894334
1,47,203,10046,21,5100,29139,53,19,23315081,0.921,3,26.894334
1,47,66,753,23,4203,7732,13,19,23315081,0.921,2,26.894334
1,47,75,546,52,4657,21138,11,19,23315081,0.921,3,26.894334
0,47,73,412,12,1995,1222,11,19,23315081,0.921,3,26.894334
1,47,47,966,97,5900,6897,19,19,23315081,0.921,3,26.894334
1,47,42,226,10,1251,2774,10,19,23315081,0.921,3,26.894334
1,47,55,1229,40,1011,24719,13,19,23315081,0.921,3,26.894334
1,47,52,383,18,1973,3458,12,19,23315081,0.921,3,26.894334
0,47,121,1587,40,1188,62790,20,19,23315081,0.921,3,26.894334
1,47,42,1393,10,6200,1742,19,19,23315081,0.921,3,26.894334
1,47,262,5716,5,2565,11576,43,19,23315081,0.921,0,26.894334
0,47,55,560,33,3397,7997,13,19,23315081,0.921,3,26.894334
1,47,132,1968,18,9475,11014,24,19,23315081,0.921,1,26.894334
0,47,52,1946,18,8913,5305,21,19,23315081,0.921,0,26.894334
1,47,84,244,76,1887,4098,8,19,23315081,0.921,2,26.894334
1,47,30,795,21,4034,3628,15,19,23315081,0.921,3,26.894334
1,47,44,196,47,2818,7150,9,19,23315081,0.921,0,26.894334
1,47,169,9478,8,4429,9513,41,19,23315081,0.921,2,26.894334
1,47,77,651,5,3846,8706,14,19,23315081,0.921,0,26.894334
0,47,43,762,7,3650,3115,15,19,23315081,0.921,3,26.894334
0,47,78,6454,10,3052,13499,32,19,23315081,0.921,3,26.894334
1,47,39,542,11,2756,1906,6,19,23315081,0.921,0,26.894334
1,47,47,435,1,2121,442,10,19,23315081,0.921,3,26.894334
1,47,224,11166,42,5767,58059,43,19,23315081,0.921,0,26.894334
0,47,71,1419,9,7064,3312,19,19,23315081,0.921,3,26.894334
1,47,30,202,9,1517,6658,5,19,23315081,0.921,3,26.894334
1,47,30,1074,40,6017,8529,14,19,23315081,0.921,2,26.894334
1,47,61,1183,35,6502,4739,15,19,23315081,0.921,2,26.894334
1,47,77,2484,10,1140,8112,23,19,23315081,0.921,4,26.894334
1,47,144,8150,53,4036,25441,41,19,23315081,0.921,3,26.894334
1,47,51,148,22,1128,3121,6,19,23315081,0.921,3,26.894334
1,47,47,3230,11,1801,20453,20,19,23315081,0.921,4,26.894334
0,47,163,6543,50,3107,16741,39,19,23315081,0.921,0,26.894334
0,47,44,187,8,1051,4029,8,19,23315081,0.921,3,26.894334
1,47,930,34647,3348,15445,295235,84,19,23315081,0.921,3,26.894334
1,47,147,2503,19,1247,11826,22,19,23315081,0.921,3,26.894334
1,47,103,1384,30,6903,10752,18,19,23315081,0.921,3,26.894334
0,47,385,21835,103,10557,74558,82,19,23315081,0.921,0,26.894334
1,47,76,6938,13,3296,11040,36,19,23315081,0.921,3,26.894334
0,47,241,41248,121,20471,46816,91,19,23315081,0.921,0,26.894334
1,47,35,178,17,1171,1651,6,19,23315081,0.921,3,26.894334
0,47,42,538,10,2842,3964,12,19,23315081,0.921,3,26.894334
1,47,399,11321,45,5277,29269,56,19,23315081,0.921,0,26.894334
1,47,36,1631,303,1706,27603,13,19,23315081,0.921,3,26.894334
