,Full name,Gender,Position,Nation,Institute,Shanghai_ranking,Depratment,Disciplines,Publications,Citations,Recommendations,Top cited research,Interest score,Reads,h index,URL
49,Beena Kalisky,male,PhD,Israel,Bar Ilan University,301,Department of Physics,Experimental Physics|Condensed Matter Physics|Magnetic Materials,84.0,2707.0,23.0,Direct imaging of the coexistence of ferromagnetism and superconductivity at the LaAlO3/SrTiO3 interface,1260.0,6395.0,20.0,https://www.researchgate.net/profile/Beena_Kalisky
50,Ron Berger,male,PhD,Israel,Bar Ilan University,301,Department of Management,Business|Management|Economic Development,94.0,906.0,57.0,Analyzing business-to-business relationships in an Arab context,7108.0,61364.0,17.0,https://www.researchgate.net/profile/Ron-Berger
51,Yoram Louzoun,male,Ph.D.,Israel,Bar Ilan University,301,Department of Mathematics,Probability|Genomics|Bioinformatics,249.0,4937.0,72.0,Mother and infant coordinate heart rhythms through episodes of interaction synchrony,2433.0,27948.0,38.0,https://www.researchgate.net/profile/Yoram-Louzoun
52,Arnon Blum,male,Professor,Israel,Bar Ilan University,301,"Medicine, Faculty of Medicine in the Galilee",Hypertension|Clinical Cardiology|Echocardiography,186.0,4301.0,14.0,"The pleiotropic effects of statins on endothelial function, vascular inflammation, immunomodulation and thrombogenesis",2133.0,21092.0,37.0,https://www.researchgate.net/profile/Arnon-Blum
53,Varda Soskolne,male,"B.S.W., M.P.H, Ph.D",Israel,Bar Ilan University,301,School of Social Work,Health Disparities|Cultural Studies|Health Promotion,86.0,1904.0,15.0,Determinants of the Use of Complementary Therapies by Patients With Cancer,9649.0,10575.0,26.0,https://www.researchgate.net/profile/Varda-Soskolne
54,Roy Gelbard,male,Professor,Israel,Bar Ilan University,301,Graduate School of Business Administration ,Clustering Algorithms|Clustering|ICT,80.0,895.0,8.0,The importance of innovation leadership in cultivating strategic fit and enhancing firm performance,4612.0,6946.0,15.0,https://www.researchgate.net/profile/Roy-Gelbard
55,Esther Adi-Japha,male,Nan,Israel,Bar Ilan University,301,School of Education,Learning|Cognitive Neuropsychology|Cognitive Development,52.0,1526.0,58.0,Grammar predicts procedural learning and consolidation deficits in children with Specific Language Impairment,7699.0,16608.0,20.0,https://www.researchgate.net/profile/Esther-Adi-Japha
56,Zvi Lotker,male,P.h.D,Israel,Bar Ilan University,301,Faculty of Engineering,Geometry|Artificial Intelligence|Optimization,188.0,3057.0,12.0,Buffer Overflow Management in QoS Switches,1434.0,13930.0,30.0,https://www.researchgate.net/profile/Zvi-Lotker
57,Rachel Lubart,male,Prof. Dr.,Israel,Bar Ilan University,301,Department of Chemistry,EPR|Free Radicals|Light,126.0,5838.0,47.0,Enhanced Antibacterial Activity of Nanocrystalline ZnO Due to Increased ROS‐Mediated Cell Injury,2825.0,17029.0,36.0,https://www.researchgate.net/profile/Rachel-Lubart-2
58,Yoel Melamed,male,PhD,Israel,Bar Ilan University,301,The mina and Everard Goodman Faculty of Life Sciences,Plant Ecology|Invasive Species|Archaeology,53.0,1798.0,47.0,"Evidence of Hominin Control of Fire at Gesher Benot Ya`aqov, Israel",1140.0,19537.0,16.0,https://www.researchgate.net/profile/Yoel-Melamed
59,Gila E. Fruchter,male,Professor,Israel,Bar Ilan University,301,Graduate School of Business Administration ,Optimal Control,50.0,1045.0,1.0,Closed-Loop Advertising Strategies in a Duopoly,4986.0,6761.0,19.0,https://www.researchgate.net/profile/Gila-Fruchter
60,Jordan H Chill,male,PhD,Israel,Bar Ilan University,301,Department of Chemistry,Nan,70.0,1166.0,11.0,"Chill, J.H., Louis, J.M., Miller, C. & Bax, A. NMR study of the tetrameric KcsA potassium channel in detergent micelles. Protein Sci. 15, 684-698",5281.0,5121.0,19.0,https://www.researchgate.net/profile/Jordan-Chill
61,Ronny Bartsch,male,PhD,Israel,Bar Ilan University,301,Department of Physics,Biophysics|Heart Failure|Atrial Fibrillation,62.0,3090.0,54.0,Network Physiology reveals relations between network topology and physiological function,1645.0,15541.0,26.0,https://www.researchgate.net/profile/Ronny_Bartsch
62,Netta Horesh- Reinman,male,PhD,Israel,Bar Ilan University,301,Department of Psychology,Trauma|Bipolar Disorder|Psychopathology,66.0,3281.0,5.0,Emotional reactivity and cognitive regulation in anxious children,1608.0,12368.0,37.0,https://www.researchgate.net/profile/Netta-Horesh-Reinman
63,Tirupathi R. Penki,male,M.Sc. Ph.D,Israel,Bar Ilan University,301,Department of Chemistry,Nanomaterials Synthesis|Polymers|Nanoparticle Synthesis,66.0,1781.0,58.0,Review on Challenges and Recent Advances in the Electrochemical Performance of High Capacity Li- and Mn-Rich Cathode Materials for Li-Ion Batteries,1373.0,30045.0,21.0,https://www.researchgate.net/profile/Tirupathi-Penki
64,Uri Polat,male,Prof.,Israel,Bar Ilan University,301,"Department of Life Science, School of Optometry and Visual Science",Eyes|Vision Science|Optometry and Vision Science,159.0,6676.0,7.0,Lateral interactions between spatial channels: Suppression and facilitation revealed by lateral masking experiments,2903.0,14922.0,39.0,https://www.researchgate.net/profile/Uri-Polat
65,Moshe Lewenstein,male,Ph.D.,Israel,Bar Ilan University,301,Department of Computer Science,Algorithms|Data Structures|Pattern Matching,116.0,2753.0,5.0,Dictionary matching and indexing with errors and don't cares,1211.0,10662.0,28.0,https://www.researchgate.net/profile/Moshe-Lewenstein
66,Yuval Feldman,male,PhD,Israel,Bar Ilan University,301,Faculty of Law,Behavioral Analysis|Regulatory Compliance|Law Enforcement,116.0,932.0,48.0,"The Incentives Matrix: The Comparative Effectiveness of Rewards, Liabilities, Duties and Protections for Reporting Illegality",6861.0,32276.0,17.0,https://www.researchgate.net/profile/Yuval-Feldman
67,Amir Leshem,male,Professor,Israel,Bar Ilan University,301,Faculty of Engineering,Simulation|Algorithms|Probability Theory,274.0,4147.0,24.0,Robust Adaptive Beamforming Based on Interference Covariance Matrix Reconstruction and Steering Vector Estimation,1811.0,19479.0,34.0,https://www.researchgate.net/profile/Amir-Leshem
68,Ilana Perelshtein,male,PhD,Israel,Bar Ilan University,301,Nanoparticles,Nan,99.0,3785.0,115.0,"Sonochemical coating of silver nanoparticles on textile fabrics (nylon, polyester and cotton) and their antibacterial activity",2151.0,28706.0,30.0,https://www.researchgate.net/profile/Ilana-Perelshtein
69,Nir Qvit,male,PhD; MBA,Israel,Bar Ilan University,301,Faculty of Medicine in the Galilee,Phosphopeptides|Peptide Synthesis|Cyclic Peptides,78.0,1595.0,21.0,Novel Drp1 inhibitor diminishes aberrant mitochondrial fission and neurotoxicity,8179.0,16197.0,18.0,https://www.researchgate.net/profile/Nir-Qvit
70,Ramit Mehr,male,PhD,Israel,Bar Ilan University,301,Faculty of Life Sciences,B Cells|Immunology,157.0,3326.0,7.0,"Diversity, cellular origin and autoreactivity of antibody-secreting cell population expansions in acute systemic lupus erythematosus",1378.0,13419.0,33.0,https://www.researchgate.net/profile/Ramit-Mehr
71,Farid Nakhoul,male,Nan,Israel,Bar Ilan University,301,poriya nephrology division,Nan,87.0,3495.0,80.0,Diagnosis and Classification of 17 Diseases from 1404 Subjects via Pattern Analysis of Exhaled Molecules,1660.0,6855.0,28.0,https://www.researchgate.net/profile/Farid-Nakhoul
