,Full name,Gender,Position,Nation,Institute,Shanghai_ranking,Depratment,Disciplines,Publications,Citations,Recommendations,Top cited research,Interest score,Reads,h index,URL
6892,Mai Sult,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,accounting,Functional Analysis,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Mai-Sult
6893,Maya Shimoni,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Nursing Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Maya-Shimoni-3
6894,Miriam joy Drori,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Nursing Sciences,Nursing,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Miriam-Drori-2
6895,Nidaa Mahareb,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Health Human Resources,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Nidaa_Mahareb
6896,Maria Kasyanenko,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Nan,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Maria_Kasyanenko
6897,Gilad ben david,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Social Influence|Decision Processes|Environmental Psychology,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Gilad-Ben-David
6898,Noy Sayag,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Noy-Sayag
6899,Elizabeth Sh,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Management Information Systems,Software Development|SQL|Web Development,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Elizabeth-Sh-2
6900,Orpal Barashi,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Nan,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Orpal_Barashi
6901,Etay Cohen,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Mental Illness,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Etay-Cohen
6902,Andres Konichezky,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Psychology,Psychology|Applied Psychology,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Andres-Konichezky
6903,Adi Tauber,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,political science,Public Policy Analysis|Governance|Local Governance,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Adi-Tauber
6904,Amit Yeshayahu,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,POLITICAL SIENCE,Political Studies|Political Sociology|Gender Studies,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Amit-Yeshayahu-2
6905,Yehuda Kahn,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,medical psychology,Clinical Health Psychology,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Yehuda-Kahn
6906,Niran Benavi,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Government and Society,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Niran-Benavi
6907,Keshet Gross,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Adolescent Development,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Keshet-Gross
6908,Sahar liel Korouri,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Behavioral Psychology,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Sahar-Korouri
6909,Hanna bar joseph,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,vocational psychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Hanna_Bar_Joseph
6910,Omer Ravid,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,psychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Omer-Ravid
6911,Naama Finer,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Computer Science,Machine Learning|Supervised Learning,0.0,0.0,0.0,Nan,0.0,2.0,0.0,https://www.researchgate.net/profile/Naama-Finer-2
6912,Avraham Shirly,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,PSYCHOLOGY,Psychopathology|Developmental Psychopathology|Treatment,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Avraham-Shirly
6913,Tamar Maayan,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,health psychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Tamar-Maayan
6914,Nadav Hertz,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,MBA,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Nadav_Hertz
6915,Dror Bar-on,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Mifrasim,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Dror_Bar-On
6916,Gabriella Silver,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,information systems,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Gabriella-Silver-2
6917,Bin Zil,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Bin-Zil
6918,Yasmin Raveh,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Nan,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Yasmin_Raveh
6919,Igor Kornev,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Economics and Management,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Igor-Kornev
6920,Ganit Eshel Kedmi,male,PhD,Israel,Academic College of Tel Aviv-Yafo,801,School of Economics and Management,Learning|Organizational Behavior|Technology Enhanced Learning,2.0,66.0,0.0,Improving children’s Cognitive Modifiability through Mediated Learning and Dynamic Assessment within 3D Immersive Virtual Reality Environment,376.0,598.0,2.0,https://www.researchgate.net/profile/Ganit-Eshel-Kedmi-2
6921,Ben Bublil,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,computers sience,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Ben-Bublil
6922,Omri Ovadia,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,PSYCHOLOGY,Counseling|Behavioral Psychology|Psychological Assessment,0.0,0.0,0.0,Nan,0.0,1.0,0.0,https://www.researchgate.net/profile/Omri-Ovadia
6923,Hava Ishakov,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Hava-Ishakov
6924,Sharon Rosen,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,behavioural science,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Sharon-Rosen
6925,Assaf Aaa,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Nan,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Assaf_Aaa
6926,Irit Herman,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Nan,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Irit-Herman
6927,Adva Margolis,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Adva-Margolis
6928,Natali Berkman,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,psychology,Psychopathology|Mental Illness|Treatment,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Natali-Berkman-2
6929,Milkana Statev,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Computer Science,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Milkana-Statev
6930,Bar Cohen,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,developmental psychology,Child Development,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Bar-Cohen-2
6931,Yarden Azoulay,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Sociology,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Yarden-Azoulay
6932,Karen Tal,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Nan,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Karen-Tal
6933,Shani Lanciano,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Shani-Lanciano
6934,Ronit Kimhazi,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,"Clinical Psychology, School of Behavioral Sciences",Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Ronit-Kimhazi
6935,Lee Naor,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,psychology,Clinical Neuropsychology,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Lee-Naor
6936,Nufar Bar,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,psycology,Child Development,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Nufar-Bar
6937,Sap Froi,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Behavioral Psychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Sap_Froi
6938,Shaul Fox,male,Doctor of Psychology,Israel,Academic College of Tel Aviv-Yafo,801,School of Economics and Management,Work Psychology|Psychological Assessment|Industrial Psychology,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Shaul-Fox-2
6939,Zamir Markovsky,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,information system management,Software Development|Object-Oriented Programming|Java Programming,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Zamir_Markovsky
6940,Tal Golanski,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Nan,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Tal-Golanski
6941,Nadia Medvedovsky,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,information technology,Information Technology|IT,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Nadia_Medvedovsky
6942,Dor Flohr,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Economics and Management,Business,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Dor-Flohr
6943,Dina Ber,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,clinical psychology,Psychopathology|Treatment|Clinical Assessment,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Dina-Ber
6944,Ruth Ben Hefer,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,"psychology, M.A",Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Ruth-Ben-Hefer
6945,Shani Soffer,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,psychology,Cognitive Neuropsychology|Neuropsychological Assessment|Mild Cognitive Impairment,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Shani-Soffer
6946,Yaata Hendel,male,Student at Academic College of Tel Aviv-Yafo,Israel,Academic College of Tel Aviv-Yafo,801,Information Systems,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Yaata-Hendel
6947,Sani Ziv,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Economics and Management,Economic Analysis|Applied Economics|Econometric Analysis,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Sani-Ziv
6948,Neta Barzily,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,psychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Neta-Barzily
6949,Gali Brin,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,behavior science,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Gali_Brin
6950,Inbar Itzcovich,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Counseling|Behavioral Psychology,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Inbar_Itzcovich
6951,Aya Efrat,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Child Development|Psychological Assessment,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Aya-Efrat
6952,דפני ב.א.,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,information systems,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/dpny-b
6953,Tair Kubani,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Tair_Kubani
6954,Shirley Libman,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,pshychology,Sociology,0.0,0.0,1.0,Nan,0.0,247.0,0.0,https://www.researchgate.net/profile/Shirley-Libman
6955,Shira Yd,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Nan,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Shira_Yd
6956,Dana Nuri,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,neuropsychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Dana_Nuri
6957,Anna Pavlovsky,male,"BSc, RN",Israel,Academic College of Tel Aviv-Yafo,801,School of Nursing Sciences,Nursing,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Anna-Pavlovsky
6958,Idan Akiva,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Economics and Management,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Idan-Akiva
6959,Sivan Kahlon,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Psychopathology,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Sivan-Kahlon
6960,Stav Medwed,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,psychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Stav-Medwed
6961,Tal Lavi,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,psycollogy,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Tal_Lavi3
6962,Niv Keinan,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Niv_Keinan
6963,Naama Ka,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Nan,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Naama_Ka
6964,Natalia Rusov,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Natalia-Rusov
6965,Dorit Linsky,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,English,Teaching English as a Foreign Language,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Dorit_Linsky
6966,Olga Obodovski,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,C++,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Olga_Obodovski
6967,Leeat Sokol,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Behavioral Psychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Leeat_Sokol
6968,Riyad Seif,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Nursing Sciences,Nursing,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Riyad-Seif
6969,Or Reznik,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,student,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Or_Reznik
6970,Nur Stadler,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,cinema and television,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Nur_Stadler
6971,Sapir Kadishman,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Economics and Management,Development Studies,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Sapir-Kadishman
6972,Dinor Hack,male,Student at Academic College of Tel Aviv-Yafo,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Dinor-Hack
6973,Baruch Galin,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Baruch_Galin
6974,Sapir Shirgauker,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Sapir_Shirgauker
6975,Adva Jakovson,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Economics and Management,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Adva-Jakovson
6976,Carmel Vitko,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,psychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Carmel-Vitko
6977,Maayan Vaizman,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,psychlogy,Behavioral Experiment|Behavioral Testing|Learning and Memory,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Maayan-Vaizman
6978,Linoy Cohen,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,b,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Linoy-Cohen
6979,Dorin Cohen,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,developmental psychology,Executive Function|Memory|Psychological Assessment,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Dorin-Cohen-2
6980,Hilla Gal,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Psychologist,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Hilla-Gal
6981,Anna Semko,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Anna_Semko
6982,Yael Bar,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Economics and Management,Organizational Theory|Organizational Learning|Organizational Development,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Yael-Bar-4
6983,Phil Kovalev,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Nan,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Phil_Kovalev
6984,Amit Oren,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Personality Assessment,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Amit_Oren3
6985,Dana Penn,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,psychology,Design for All,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Dana_Penn
6986,Shiran Yakobovitch,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Psychology,Behavioral Psychology|Treatment|Personality Assessment,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Shiran-Yakobovitch
6987,Salwa Khoury,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,political science,Sociology|Cultural Sociology|Cultural Studies,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Salwa_Khoury
6988,Anna Lorents,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Psychology,Psychological Assessment|Psychological Testing|Motivational Psychology,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Anna-Lorents
6989,Maya Lehman,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Maya-Lehman-2
6990,Itamar Shmueli,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Psychology,Counseling|Psychopathology|Mental Illness,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Itamar-Shmueli
6991,Reuven Ben Zeev,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Nursing Sciences,Nursing|Clinical Nursing|Nursing Education,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Reuven-Ben-Zeev
6992,Vika Koksharov,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Computer Science,Classification,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Vika-Koksharov
6993,Sheer Raev,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Sheer_Raev
6994,Ran Noy,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Treatment,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Ran-Noy
6995,Elinor Fogel,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Government and Society,Political Sociology|Sociology|Feminist Theory,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Elinor-Fogel
6996,Shlomo Jakubowicz,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Computer Science,DNA,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Shlomo_Jakubowicz
6997,Dana Friedman,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Dana_Friedman2
6998,Mor Ladani,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Mor_Ladani
6999,Kati Rosen,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Kati-Rosen
7000,Noam Bar Uryan,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,information system,Information System Management,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Noam-Bar-Uryan
7001,Anat Shtil,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,psychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Anat-Shtil
7002,Einat Liberman,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Counseling|Behavioral Psychology,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Einat_Liberman
7003,Elchanan Orgad,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Elchanan-Orgad
7004,Shiri Morshtein,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Software Development,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Shiri_Morshtein
7005,Julie Let,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Nan,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Julie-Let
7006,Yuval Arie Bercovich,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Computer Science,Object-Oriented Programming|Java Language|Web Development,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Yuval-Bercovich
7007,Sarit Kigel,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Economics and Management,Java Programming,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Sarit-Kigel
7008,Sivan Tytiun,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Information systems,Information Technology|Information System Management|Information Management,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Sivan_Tytiun
7009,Adi Leonard,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Behavioral Sciences,Behavioral Psychology|Psychoeducation|Psychology of Adolescence,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Adi_Leonard
7010,Hilla Bar,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Developmental Psychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Hilla-Bar
7011,Daniela Yagudaev,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Psychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Daniela-Yagudaev
7012,Eden Kalo,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Psychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Eden-Kalo
7013,Tal Porat,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Psychology,Treatment|Psychoeducation|Behavioral Psychology,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Tal-Porat
7014,Rom Kaplinsky,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Psychopathology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Rom_Kaplinsky
7015,Galit Masel,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,Psychology,Clinical Assessment|Psychotherapeutic Processes,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Galit-Masel
7016,Aviv Ben Porat,male,Nan,Israel,Academic College of Tel Aviv-Yafo,801,School of Government and Society,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Aviv-Ben-Porat
